,Coordenadas_inicio,Coordenadas_fin,Minutos,Nombre_inicio,Nombre_fin
21,"[39.46390454569073, -0.380662719226331]","[39.47278157118494, -0.3549434211166614]",10.237435435435437,"Gran Via de Ramón y Cajal, Extramurs, València","Carrer de Polo y Peyrolón, el Pla del Real, València"
22,"[39.45517042723843, -0.379250149125699]","[39.45917326458201, -0.40471387646713003]",13.042489489489496,"Avinguda de Peris i Valero, Quatre Carreres, València","Carrer Fogainers, Patraix, València"
23,"[39.46807954816329, -0.3628532365007348]","[39.45684722133387, -0.4023163469582243]",13.646816816816818,"Circuit 5K Jardí del Túria, l'Eixample, València","Carrer d'Enric Taulet (Notari i Acadèmic), Patraix, València"
24,"[39.475100819225275, -0.38824694463822806]","[39.41939617955964, -0.38817367912950107]",23.564375375375384,"Gran Via de Ferran el Catòlic, Extramurs, València","Calle de Ramón y Cajal, Alfafar"
25,"[39.46231508894026, -0.3395534764946805]","[39.45718863878191, -0.3841269632348477]",14.852027027027027,"Carrer de la Fusta, Camins al Grau, València","Carrer del Metge Esteve, Jesús, València"
26,"[39.50720759494958, -0.35198372261703775]","[39.46090000474517, -0.3811706433574416]",34.89440840840841,[Desconocido],"Arrancapins, València"
27,"[39.49583780898948, -0.38283686515904214]","[39.46033937451381, -0.4011018311025682]",15.472423423423423,"Carrer del Riu Segre, Benicalap, València","Carrer del Doctor Pérez Feliu, Patraix, València"
28,"[39.48104774589846, -0.3618309643576755]","[39.45529529548274, -0.37786557597056025]",13.932672672672672,"Carrer d'Alemanya, el Pla del Real, València","Carrer de Joaquín Benlloch, Quatre Carreres, València"
29,"[39.456352691793846, -0.37131078588975447]","[39.47502572192064, -0.4158282591838973]",16.051312312312316,"Carrera de la Fonteta de Sant Lluís, Quatre Carreres, València","Plaça de la Moreria, Mislata"
30,"[39.5245461194349, -0.39170575694444953]","[39.46845231569381, -0.36152126327643236]",23.159150150150147,"Camí Fondo de Borbotó a Massarrojos, Pobles del Nord, València","Plaça de Saragossa, el Pla del Real, València"
31,"[39.518641927005966, -0.3852169607785514]","[39.475341483853676, -0.4169029357201669]",25.109,"Avinguda del Palmaret, Pobles del Nord, València","Plaça de la Constitució, Mislata"
32,"[39.49748784893418, -0.39548875503952874]","[39.46371462667505, -0.36561338868096743]",16.47694894894894,"Carrer d'Andreu Alfaro (Escultor), Benicalap, València","Carrer de Joaquim Costa, l'Eixample, València"
33,"[39.492257356986265, -0.35826757619352073]","[39.47229452087998, -0.33104572596920534]",11.916390390390388,"Carrer de Masquefa, Benimaclet, València","Carrer de les Tramoyeres, Poblats Marítims, València"
34,"[39.46299921621865, -0.38056394738863725]","[39.46950531271542, -0.33024052547676463]",17.543033033033034,"Carrer del Doctor Gil i Morte, Extramurs, València","Carrer de Josep Benlliure, Poblats Marítims, València"
35,"[39.46601228418332, -0.36834836270404425]","[39.49183250374502, -0.3722261978160176]",11.54832132132132,"Carrer de l'Almirall Cadarso, l'Eixample, València","Carrer de Sant Joan Bosco, Rascanya, València"
36,"[39.503688128676444, -0.34650530834183385]","[39.52301196338078, -0.3915939623452513]",41.53362462462463,[Desconocido],"Camí Fondo de Borbotó a Massarrojos, Pobles del Nord, València"
37,"[39.50535475143336, -0.43864852217524586]","[39.52353146659213, -0.417944840760402]",11.7026966966967,"Carrer Mestre Ramón Ramia Querol, Paterna","Carrer el clot, Godella"
38,"[39.481714200553526, -0.3885892614999255]","[39.45257777646837, -0.3874240297954478]",12.261375375375373,"Avinguda de Menéndez Pidal, Campanar, València","Carrer de Juan de Celaya, Jesús, València"
39,"[39.45645956525946, -0.37122920398250864]","[39.46510132255713, -0.3371634323130311]",12.051960960960962,"Carrera de la Fonteta de Sant Lluís, Quatre Carreres, València","Carrer de Benigànim, Camins al Grau, València"
40,"[39.46513145166688, -0.3939024886788914]","[39.49123703077269, -0.365792110002688]",15.263234234234238,"Carrer de Mariano Ribera, Patraix, València","Carrer del Duc de Mandas, Rascanya, València"
41,"[39.462161275868645, -0.36607259973406914]","[39.458574268125666, -0.39694193307871334]",11.150963963963964,"Carrer de Maties Perelló, l'Eixample, València","Plaça de Sant Pedro Poveda (Sacerdot i Pedagog), Patraix, València"
42,"[39.46694895885495, -0.3521168516558386]","[39.52900669714215, -0.39130645874789555]",27.784666666666677,"Carrer d'Abén Al-Abbar, Camins al Grau, València","Carrer de la Santíssima Creu, Pobles del Nord, València"
43,"[39.41644479268144, -0.3847388022288718]","[39.50145898017736, -0.4230898782381037]",37.18689489489491,"Carrer de Pérez Llácer, Alfafar","Carrer de Joaquín Marín, Pobles de l'Oest, València"
44,"[39.47191772075769, -0.3538180618521776]","[39.49891685895811, -0.3508250219737794]",16.085894894894896,"Carrer de Campoamor, Algirós, València","Calle de San Pancracio, Alboraia / Alboraya"
45,"[39.48040922086871, -0.36586771694668146]","[39.523365293446055, -0.38979792611378306]",20.465507507507503,"Carrer de Cavanilles, la Saïdia, València","Camí de Borbotó a Massarrojos, Pobles del Nord, València"
46,"[39.49618706632511, -0.35290292377885435]","[39.48834940618816, -0.36062113600898243]",24.8100900900901,"Avenida de Ausias March, Alboraia / Alboraya","Carrer d'Emili Baró, Benimaclet, València"
47,"[39.469594369562074, -0.3409159124840333]","[39.52827350270283, -0.3752537306405829]",27.968333333333337,"Carrer de Campoamor, Algirós, València",[Desconocido]
48,"[39.457946056233325, -0.36694522394680096]","[39.526155204062505, -0.38605672535783525]",28.02954954954955,"Carrer de Montitxelvo, Quatre Carreres, València","Camí de Benifaraig a Montcada, Pobles del Nord, València"
49,"[39.42405787771896, -0.38925086496553624]","[39.46128134904798, -0.40656766580767606]",20.618477477477477,"Calle de Colón, Alfafar","Carrer Fogainers, Patraix, València"
50,"[39.44746457328697, -0.36815426417801744]","[39.46536583933285, -0.3820951181602941]",10.47810810810811,"Carrer d'Ángel Villena, Quatre Carreres, València","Plaça d'Espanya, Extramurs, València"
51,"[39.46946964681374, -0.3711973837252347]","[39.52570169226869, -0.3859630069633532]",24.84612612612613,"Carrer de Colón, Ciutat Vella, València","Camí de Benifaraig a Montcada, Pobles del Nord, València"
52,"[39.41648409049861, -0.39005885616615]","[39.46279155105866, -0.36040699496004336]",24.264165165165164,"Camino del Cementerio, Alfafar","Carrer de l'Alcalde Reig, Quatre Carreres, València"
53,"[39.46446533830192, -0.33594941136957174]","[39.48389328376311, -0.36277831284378864]",11.6759009009009,"Carrer de la Serradora, Poblats Marítims, València","Carrer d'Emili Baró, el Pla del Real, València"
54,"[39.47948409069642, -0.36603113772510326]","[39.46891289985148, -0.4134947692345867]",16.71981381381381,"Avinguda de Blasco Ibáñez, el Pla del Real, València","Carrer de Josep Maria Bayarri, l'Olivereta, València"
55,"[39.45616772991021, -0.39983143804936927]","[39.52270848175694, -0.3780426574663565]",25.84846846846848,"Carrer de la Borrasca, Patraix, València","Camí calvari, Pobles del Nord, València"
56,"[39.48077086943502, -0.38493775669127345]","[39.523999918705584, -0.386603767797613]",18.31757657657657,"Avinguda Menéndez Pidal, Campanar, València","Camí de Benifaraig a Montcada, Pobles del Nord, València"
57,"[39.445563166812136, -0.34184743242597715]","[39.5245857111987, -0.3834139948423082]",34.990069069069065,"Camí del Valladar, Quatre Carreres, València","CV-315, Pobles del Nord, València"
58,"[39.487134706492704, -0.36207502459206004]","[39.42364316010829, -0.39850468836618413]",31.65806006006004,"Carrer del Reverend José María Pinazo, Benimaclet, València","Calle de Miguel Hernández, Benetússer"
59,"[39.48911698620503, -0.3502139924203194]","[39.44536845170325, -0.33275230898939595]",20.411207207207216,"Camí de Farinós, Alboraia / Alboraya","Natzaret, València"
60,"[39.47444472478107, -0.39225655090379197]","[39.51298147489228, -0.3666661317326016]",19.147639639639635,"Avinguda de Sant Josep de la Muntanya, Extramurs, València",[Desconocido]
61,"[39.502411551344615, -0.4123962464655008]","[39.51937685332764, -0.45966203601881905]",23.64001201201201,"Benimàmet, Burjassot","Carrer del Carboner, Paterna"
62,"[39.52960191338687, -0.3798087693757968]","[39.45910977431858, -0.33672990933267066]",33.337630630630635,"Camí de l'Alquería de Gilet, Pobles del Nord, València","Carrer dels Boters, Poblats Marítims, València"
63,"[39.480293422074524, -0.39055242064233947]","[39.50227383512022, -0.42555673835108276]",15.823858858858856,"Avenida Pío XII, Campanar, València","Carrer dels Pins, Pobles de l'Oest, València"
64,"[39.49728307837237, -0.3902784495366785]","[39.47668557749815, -0.38936172089198123]",10.765072072072076,"Carrer de Manuel Melià i Fuster (Don Pío), Benicalap, València","Gran Via de Ferran el Catòlic, Extramurs, València"
65,"[39.475437573561095, -0.36884548404982664]","[39.45301211251137, -0.33326943151641725]",14.537426426426432,"Passeig de la Ciutadella, Ciutat Vella, València","Carrer Major de Natzaret, Poblats Marítims, València"
66,"[39.5122689952661, -0.4635787011061548]","[39.507577390542146, -0.41570892323380326]",23.897801801801805,"Calle Ciudad de Sagunto, Paterna","Calle del Doctor Fleming, Burjassot"
67,"[39.492348202502214, -0.3758831177189978]","[39.470982395224986, -0.3916979608167572]",10.757201201201203,"Carrer de l'Escultor Piquer, Rascanya, València","Carrer de Martí l’Humà, Extramurs, València"
68,"[39.466446695705386, -0.34025245607291615]","[39.499516734195346, -0.3452901039194459]",17.96247147147147,"Carrer dels Sants Just i Pastor, Camins al Grau, València","Calle de los Herreros, Alboraia / Alboraya"
69,"[39.46320872584864, -0.378861657627463]","[39.502114150655075, -0.4227809088830243]",21.71069069069069,"Gran Via de Ramón y Cajal, Extramurs, València","Plaça de Serra, Pobles de l'Oest, València"
70,"[39.467687963051716, -0.3736870298039824]","[39.46510132255713, -0.3371634323130311]",11.77097897897898,"Carrer de Colón, l'Eixample, València","Carrer de Benigànim, Camins al Grau, València"
71,"[39.47985789480331, -0.3770539185933688]","[39.44482522192538, -0.3955864211424718]",16.902336336336344,"Carrer de la Blanqueria, Ciutat Vella, València","Carrer de Pius IX, Jesús, València"
72,"[39.46591896700663, -0.3719908058329071]","[39.528735491720106, -0.38487558674985933]",25.98663063063064,"Gran Via del Marqués del Túria, l'Eixample, València","Carrer de Losa del Obispo, Pobles del Nord, València"
73,"[39.466183660923896, -0.3331241781942545]","[39.45617285637705, -0.36745044951444894]",12.271750750750748,"Carrer de Francesc Baldomà, Poblats Marítims, València","Carrer dels Sapadors, Quatre Carreres, València"
74,"[39.45459684233481, -0.4016879653705861]","[39.45037192370345, -0.3433527628708361]",19.10347147147147,"Carrer del Doctor Rafael Bartual, Patraix, València","Avinguda de Jesús Morante Borràs, Quatre Carreres, València"
75,"[39.45836516166804, -0.39131479986974765]","[39.46310800535233, -0.3563519386193477]",11.05759159159159,"Carrer de Franco Tormo, Patraix, València","Camí de Penya-roja, Camins al Grau, València"
76,"[39.51575111020065, -0.41741495391958094]","[39.497416084508224, -0.44787083934562866]",16.22134234234234,"Calle de Juan José López Laguarda, Burjassot","CV-371, Paterna"
77,"[39.49092558288228, -0.3497988038443769]","[39.48963918605085, -0.39393744931932817]",29.32097297297297,"Vía Xurra, Alboraia / Alboraya","Carrer del Doctor Nicasi Benlloch, Benicalap, València"
78,"[39.50934310248573, -0.3725401918709759]","[39.453305826109705, -0.3326616180797219]",33.74939339339338,"Carpesa, València","Carrer Major de Natzaret, Poblats Marítims, València"
79,"[39.45558322356975, -0.39960530578107606]","[39.50386138302758, -0.42039036351768366]",20.19753153153153,"Carrer de la Borrasca, Patraix, València","Carrer de Felipe Valls, Pobles de l'Oest, València"
80,"[39.523999918705584, -0.386603767797613]","[39.46588364241705, -0.34731672425541354]",26.559945945945923,"Camí de Benifaraig a Montcada, Pobles del Nord, València","Carrer de l'Arquitecte Gascó, Camins al Grau, València"
81,"[39.509835081782256, -0.41700323677486084]","[39.50549108052265, -0.4406462875880262]",14.819585585585582,"Calle del Mestre Arturo Padilla, Burjassot","Carrer Sant Francesc de Borja, Paterna"
82,"[39.42264629122824, -0.391138006136573]","[39.50229116868583, -0.41593037368974856]",37.814966966966985,"Calle de Isaac Peral, Alfafar","Carrer del Mestre Plasència, Pobles de l'Oest, València"
83,"[39.46310800535233, -0.3563519386193477]","[39.431224264224085, -0.39287910736843806]",18.16621021021021,"Camí de Penya-roja, Camins al Grau, València","Avinguda Real de Madrid, Pobles del Sud, València"
84,"[39.44536845170325, -0.33275230898939595]","[39.46781499520431, -0.35858369456476535]",13.567534534534536,"Natzaret, València","Avinguda del Port, el Pla del Real, València"
85,"[39.45827463544039, -0.4651666946136044]","[39.467116319827, -0.43735515173295736]",11.089672672672672,"Carrer Cuba, Aldaia",[Desconocido]
86,"[39.47606191549227, -0.3595587663263886]","[39.47556687765368, -0.38318034825339164]",11.476897897897894,"Carrer de les Arts Gràfiques, el Pla del Real, València","Carrer de Murillo, Ciutat Vella, València"
87,"[39.508726482282775, -0.4133904566734796]","[39.52279603746818, -0.47078286835372274]",23.28670870870871,"Calle de Santa Teresa de Jesús, Burjassot","Calle Onteniente, Paterna"
88,"[39.44664109488254, -0.3366878289055526]","[39.468490792655494, -0.3903117136356062]",20.267507507507503,"Camí Vell de la Punta, Quatre Carreres, València","Carrer de l'Heroi Romeu, Extramurs, València"
89,"[39.493348634151495, -0.3793964108572074]","[39.46299921621865, -0.38056394738863725]",13.340711711711716,"Camí de Montcada, Rascanya, València","Carrer del Doctor Gil i Morte, Extramurs, València"
90,"[39.41648409049861, -0.39005885616615]","[39.48826445927876, -0.37314503830557416]",31.66812012012013,"Camino del Cementerio, Alfafar","Carrer d'Agustí Centelles Ossó (Fotògraf), la Saïdia, València"
91,"[39.47902198239637, -0.36175594654777116]","[39.44466380047614, -0.39083922056236]",17.495915915915916,"Avinguda de Blasco Ibáñez, el Pla del Real, València","Carrer de Sant Marcel·lí, Jesús, València"
92,"[39.48303443350341, -0.41669399482824054]","[39.493856299025225, -0.3530682987854535]",38.08599699699701,"Parque Fluvial del Turia, Mislata","Avinguda del Palmaret, Alboraia / Alboraya"
93,"[39.473988658088054, -0.3655256950087939]","[39.50103187190306, -0.35418113356812686]",19.595495495495506,"Passeig de l'Albereda, el Pla del Real, València","Calle del Doctor Angélico, Alboraia / Alboraya"
94,"[39.48910195689905, -0.3929898798044375]","[39.44333684911802, -0.39875462559091224]",19.231336336336348,"Carrer dels Amics del Corpus, Benicalap, València","Camí Vell de Picassent, Jesús, València"
95,"[39.45824329244473, -0.37873061686114434]","[39.52570169226869, -0.3859630069633532]",27.36973273273273,"Plaça de Demetrio Ribes, l'Eixample, València","Camí de Benifaraig a Montcada, Pobles del Nord, València"
96,"[39.459153697192484, -0.3827539497388502]","[39.48826445927876, -0.37314503830557416]",12.112354354354352,"Carrer de Sant Vicent Màrtir, Extramurs, València","Carrer d'Agustí Centelles Ossó (Fotògraf), la Saïdia, València"
97,"[39.46536583933285, -0.3820951181602941]","[39.46509222470148, -0.33384192471887725]",15.615993993993998,"Plaça d'Espanya, Extramurs, València","Carrer d'Ernest Anastasio, Poblats Marítims, València"
98,"[39.4973161764907, -0.3748425457075339]","[39.50381543918045, -0.3519253094319992]",23.12402102102101,"Carrer del Mont Carmel, Rascanya, València","Calle del Cristo de la Providencia, Alboraia / Alboraya"
99,"[39.47499536667772, -0.41654104337112285]","[39.4373753307774, -0.3262285006306275]",34.06191591591594,"Carrer de Marcos Porta, Mislata","Carrer del Sech, Poblats Marítims, València"
100,"[39.468447928492225, -0.3891159262422141]","[39.527464250455104, -0.3889009606286629]",24.95303303303303,"Carrer d'Alberic, Extramurs, València",[Desconocido]
101,"[39.47765657401078, -0.3528134625617623]","[39.49294209857076, -0.3859784882502914]",12.676906906906908,"Carrer de Ruben Darío, Algirós, València","Carrer de Pere Delmonte i Hurtado, Benicalap, València"
102,"[39.445255249057226, -0.33393634481516365]","[39.4740518367342, -0.36032265233516386]",15.884909909909911,"Carrer d'Ifac, Poblats Marítims, València","Carrer del Naturalista Rafael Cisternas, el Pla del Real, València"
103,"[39.49296895150871, -0.41101151053938595]","[39.446640311167734, -0.33682214801091215]",30.409351351351354,"Camino del 14 de Octubre, Campanar, València","Camí Vell de la Punta, Quatre Carreres, València"
104,"[39.44872482871548, -0.33560167015140396]","[39.47572562317006, -0.40016263612044667]",23.089645645645643,"Carrer d'Ignacio Zuloaga, Quatre Carreres, València","Avinguda de Manuel de Falla, Campanar, València"
105,"[39.47651942933307, -0.3726438750462938]","[39.445255249057226, -0.33393634481516365]",18.735624624624627,"Carrer d'Entença, Ciutat Vella, València","Carrer d'Ifac, Poblats Marítims, València"
106,"[39.45529529548274, -0.37786557597056025]","[39.50041732567621, -0.4206782528616117]",22.70755855855856,"Carrer de Joaquín Benlloch, Quatre Carreres, València","Carrer de Benimodo, Pobles de l'Oest, València"
107,"[39.47553880935449, -0.3978427981887185]","[39.47593006440226, -0.3369195048248171]",20.09085585585586,"Circuit 5K Jardí del Túria, Campanar, València","Carrer de Campillo de Altobuey, Algirós, València"
108,"[39.48236072211877, -0.39038249994000995]","[39.498651089228254, -0.35492821935435803]",23.933420420420426,"Carrer del Professor Beltrán Báguena, Campanar, València","Carrer de la Pintora Aurora Valero, Alboraia / Alboraya"
109,"[39.458469982952366, -0.3712974247299527]","[39.469945418049086, -0.4193419167956435]",16.176822822822828,"Carrer de Rafael Contreras Juesas (cartellista), Quatre Carreres, València","Avinguda de Blasco Ibáñez, Mislata"
110,"[39.42148969344809, -0.40189099764578484]","[39.495516577904986, -0.38337517862705556]",34.71114414414413,"Calle Maestra Juana Sena, Benetússer","Carrer del Riu Nervión, Benicalap, València"
111,"[39.47342169045531, -0.42232933297277286]","[39.45409798136041, -0.3751849758298381]",16.536876876876875,"Carrer del Doctor Marañón, Mislata","Carrer de Pedreguer, Quatre Carreres, València"
112,"[39.46644924684471, -0.3656154154464281]","[39.49837927089074, -0.35221882913565583]",19.719462462462463,"Carrer de Císcar, l'Eixample, València","Avinguda del Diví Mestre, Alboraia / Alboraya"
113,"[39.48827576108528, -0.3637250430385133]","[39.450513551691664, -0.38933184526540265]",17.08027627627628,"Carrer de Viver, Rascanya, València","Carrer del Litògraf Pascual i Abad, Jesús, València"
114,"[39.47932436947029, -0.3871614930542443]","[39.44769720127755, -0.39224623419605936]",12.90033633633634,"Circuit 5K Jardí del Túria, Extramurs, València","Bulevard Perifèric Sud, Jesús, València"
115,"[39.48865931077153, -0.3590046281040723]","[39.49869001861817, -0.3514315023239574]",17.98367267267268,"Carrer de Masquefa, Benimaclet, València","Calle de José de Ribera, Alboraia / Alboraya"
116,"[39.49163114503419, -0.3600312129248523]","[39.46385630544063, -0.3417566162900892]",13.588981981981984,"Carrer de l'Humanista Frederic Furió, Rascanya, València","Carrer de José Aguilar, Camins al Grau, València"
117,"[39.467423024510964, -0.32526302675749114]","[39.484790607091796, -0.41938730453120787]",30.66404504504504,"el Cabanyal, València","Parque Fluvial del Turia, Campanar, València"
118,"[39.48560196070814, -0.39501486008552605]","[39.51042866788474, -0.3677646096575627]",15.668297297297295,"Avinguda del General Avilés, Benicalap, València",[Desconocido]
119,"[39.44750691260798, -0.3718651727690375]","[39.46128134904798, -0.40656766580767606]",14.593150150150148,"Malilla, València","Carrer Fogainers, Patraix, València"
120,"[39.46009567264002, -0.3701285001198121]","[39.449733140747554, -0.3969585182627564]",10.591852852852856,"Carrer dels Centelles, l'Eixample, València","Avinguda de les Tres Creus, Jesús, València"
121,"[39.46691045437545, -0.39865223412162126]","[39.42364316010829, -0.39850468836618413]",23.84156156156157,"Carrer del Músic Ayllón, l'Olivereta, València","Calle de Miguel Hernández, Benetússer"
122,"[39.44408201412276, -0.36878238925146495]","[39.52538868345943, -0.3855832735848449]",32.55562762762762,"Carrer d'Alabau i Arce, Quatre Carreres, València","Camí de Benifaraig a Montcada, Pobles del Nord, València"
123,"[39.48484482385689, -0.46038684575893823]","[39.481357049017824, -0.44814794698064164]",40.19911411411413,"Carrer del Reverend Francisco Castelló Gil, Manises","Avinguda Nou d'Octubre, Quart de Poblet"
124,"[39.49342191478942, -0.38911837134719757]","[39.44926744838674, -0.3863367439474666]",17.540066066066068,"Avinguda de l'Equador, Benicalap, València","Carrer del Capitular de Gandia, Jesús, València"
125,"[39.48104774589846, -0.3618309643576755]","[39.48920939529025, -0.39729528124608976]",12.15746846846847,"Carrer d'Alemanya, el Pla del Real, València","Carrer dels Amics del Corpus, Benicalap, València"
126,"[39.500378617604426, -0.44601036049976744]","[39.51917542305376, -0.41524835714436337]",15.357834834834838,"Avinguda del Testar, Paterna","Calle de San Vicente, Burjassot"
127,"[39.47057612792791, -0.4614234125340743]","[39.45514462411485, -0.4260106228936373]",13.113621621621617,"Camí del Pont Nou, Aldaia",[Desconocido]
128,"[39.41939617955964, -0.38817367912950107]","[39.49029981830682, -0.37371293717881826]",30.5563873873874,"Calle de Ramón y Cajal, Alfafar","Avinguda del Primat Reig, la Saïdia, València"
129,"[39.526155204062505, -0.38605672535783525]","[39.50407276375211, -0.3943830848083534]",13.799201201201203,"Camí de Benifaraig a Montcada, Pobles del Nord, València","Carril bici Burjassot-Ronda Norte, Benicalap, València"
130,"[39.46970350462285, -0.41785452713767646]","[39.48321379153044, -0.3570850630068154]",21.715705705705705,"Camí Vell de Xirivella, Mislata","Carrer del Doctor Vicent Zaragozà, Benimaclet, València"
131,"[39.45603539626461, -0.3829562552830136]","[39.52349325431076, -0.3780867423573027]",27.64700600600601,"Carrer de Millars, Jesús, València","Camí calvari, Pobles del Nord, València"
132,"[39.47585517471204, -0.38344808226340676]","[39.47120769421887, -0.3454751936577985]",14.050273273273277,"Carrer de Quart, Ciutat Vella, València","Carrer de Campoamor, Algirós, València"
133,"[39.46130735623004, -0.357870150125113]","[39.455229196973434, -0.39486416904627303]",12.95834834834835,"Pont del Regne de València, Quatre Carreres, València","Carrer de Montesa, Patraix, València"
134,"[39.49043502490881, -0.38216148369229264]","[39.463765167594424, -0.3407398070032982]",17.21855255255255,"Avinguda de Joan XXIII, Rascanya, València","Carrer de l'Almirall Cruïlles, Camins al Grau, València"
135,"[39.4678833748682, -0.3453259583864334]","[39.45444015477224, -0.39119195379198135]",16.42927627627628,"Carrer de l'Humanista Furió, Camins al Grau, València","Carrer de Llanera de Ranes, Jesús, València"
136,"[39.4506024492486, -0.33539453873219194]","[39.41319869934867, -0.3894439381251399]",26.275072072072067,"Avinguda de la Ronda de Natzaret, Quatre Carreres, València",[Desconocido]
137,"[39.47526436691827, -0.41730522947651216]","[39.49835163999365, -0.4182288547917441]",16.46673573573574,"Plaça de la Constitució, Mislata","Carrer de Miquel Agraït, Pobles de l'Oest, València"
138,"[39.466245364489694, -0.3865007150914804]","[39.50304914905475, -0.4167527435064966]",18.06722522522523,"Carrer de Conca, Extramurs, València","Carrer de l'Arquitecte Gilabert, Pobles de l'Oest, València"
139,"[39.52073889189343, -0.38693066717015956]","[39.453583416996125, -0.3354179951594167]",32.035108108108105,"Camí de Benifaraig a Montcada, Pobles del Nord, València","Carrer de Suïssa, Quatre Carreres, València"
140,"[39.50123736538105, -0.41248760088222103]","[39.51337707369635, -0.43542005249388444]",21.614597597597594,"Carrer de Rafael Tenes Escrich, Pobles de l'Oest, València","Alborgí, Paterna"
141,"[39.5033925201753, -0.3518772546729937]","[39.45486442333416, -0.4048071141179854]",41.10163363363365,"Calle de Benaguasil, Alboraia / Alboraya","Carrer del Professor Àngel Lacalle, Patraix, València"
142,"[39.46509222470148, -0.33384192471887725]","[39.453747758251524, -0.3943973794789803]",21.91760660660661,"Carrer d'Ernest Anastasio, Poblats Marítims, València","Avinguda de Gaspar Aguilar, Patraix, València"
143,"[39.52093330020732, -0.42112379390949795]","[39.49718443244894, -0.4507770515599408]",16.738336336336335,"Carrer Moncada, Godella",[Desconocido]
144,"[39.489506265768206, -0.3400876990078431]","[39.49873474081511, -0.3907104134753145]",50.09214714714718,[Desconocido],"Carrer de Salvador Cerveró, Benicalap, València"
