Coordenadas_inicio,Coordenadas_fin,Minutos
"[39.46807954816329, -0.3628532365007348]","[39.45684722133387, -0.4023163469582243]",13.646816816816818
"[39.475100819225275, -0.38824694463822806]","[39.41939617955964, -0.38817367912950107]",23.564375375375384
"[39.46231508894026, -0.3395534764946805]","[39.45718863878191, -0.3841269632348477]",14.852027027027027
"[39.50720759494958, -0.35198372261703775]","[39.46090000474517, -0.3811706433574416]",34.89440840840841
"[39.49583780898948, -0.38283686515904214]","[39.46033937451381, -0.4011018311025682]",15.472423423423425
"[39.48104774589846, -0.3618309643576755]","[39.45529529548274, -0.37786557597056025]",13.932672672672672
"[39.456352691793846, -0.37131078588975447]","[39.47502572192064, -0.4158282591838973]",16.051312312312316
"[39.5245461194349, -0.39170575694444953]","[39.46845231569381, -0.36152126327643236]",23.159150150150147
"[39.518641927005966, -0.3852169607785514]","[39.475341483853676, -0.4169029357201669]",25.109
"[39.49748784893418, -0.39548875503952874]","[39.46371462667505, -0.36561338868096743]",16.47694894894894
"[39.492257356986265, -0.35826757619352073]","[39.47229452087998, -0.33104572596920534]",11.916390390390388
"[39.46299921621865, -0.38056394738863725]","[39.46950531271542, -0.33024052547676463]",17.543033033033034
"[39.46601228418332, -0.36834836270404425]","[39.49183250374502, -0.3722261978160176]",11.548321321321321
"[39.503688128676444, -0.34650530834183385]","[39.52301196338078, -0.3915939623452513]",41.53362462462463
"[39.50535475143336, -0.43864852217524586]","[39.52353146659213, -0.417944840760402]",11.7026966966967
"[39.481714200553526, -0.3885892614999255]","[39.45257777646837, -0.3874240297954478]",12.261375375375373
"[39.45645956525946, -0.37122920398250864]","[39.46510132255713, -0.3371634323130311]",12.051960960960962
"[39.46513145166688, -0.3939024886788914]","[39.49123703077269, -0.365792110002688]",15.263234234234238
"[39.462161275868645, -0.36607259973406914]","[39.458574268125666, -0.39694193307871334]",11.150963963963964
"[39.46694895885495, -0.3521168516558386]","[39.52900669714215, -0.39130645874789555]",27.784666666666674
"[39.41644479268144, -0.3847388022288718]","[39.50145898017736, -0.4230898782381037]",37.18689489489491
"[39.47191772075769, -0.3538180618521776]","[39.49891685895811, -0.3508250219737794]",16.085894894894896
"[39.48040922086871, -0.36586771694668146]","[39.523365293446055, -0.38979792611378306]",20.465507507507503
"[39.49618706632511, -0.35290292377885435]","[39.48834940618816, -0.36062113600898243]",24.8100900900901
"[39.469594369562074, -0.3409159124840333]","[39.52827350270283, -0.3752537306405829]",27.968333333333337
"[39.457946056233325, -0.36694522394680096]","[39.526155204062505, -0.38605672535783525]",28.02954954954955
"[39.42405787771896, -0.38925086496553624]","[39.46128134904798, -0.40656766580767606]",20.618477477477473
"[39.44746457328697, -0.36815426417801744]","[39.46536583933285, -0.3820951181602941]",10.47810810810811
"[39.46946964681374, -0.3711973837252347]","[39.52570169226869, -0.3859630069633532]",24.84612612612613
"[39.41648409049861, -0.39005885616615]","[39.46279155105866, -0.36040699496004336]",24.264165165165164
"[39.46446533830192, -0.33594941136957174]","[39.48389328376311, -0.36277831284378864]",11.675900900900901
"[39.47948409069642, -0.36603113772510326]","[39.46891289985148, -0.4134947692345867]",16.71981381381381
"[39.45616772991021, -0.39983143804936927]","[39.52270848175694, -0.3780426574663565]",25.848468468468482
"[39.48077086943502, -0.38493775669127345]","[39.523999918705584, -0.386603767797613]",18.31757657657657
"[39.445563166812136, -0.34184743242597715]","[39.5245857111987, -0.3834139948423082]",34.990069069069065
"[39.487134706492704, -0.36207502459206004]","[39.42364316010829, -0.39850468836618413]",31.65806006006004
"[39.48911698620503, -0.3502139924203194]","[39.44536845170325, -0.33275230898939595]",20.411207207207216
"[39.47444472478107, -0.39225655090379197]","[39.51298147489228, -0.3666661317326016]",19.147639639639635
"[39.502411551344615, -0.4123962464655008]","[39.51937685332764, -0.45966203601881905]",23.640012012012015
"[39.52960191338687, -0.3798087693757968]","[39.45910977431858, -0.33672990933267066]",33.337630630630635
"[39.480293422074524, -0.39055242064233947]","[39.50227383512022, -0.42555673835108276]",15.823858858858857
"[39.49728307837237, -0.3902784495366785]","[39.47668557749815, -0.38936172089198123]",10.765072072072075
"[39.475437573561095, -0.36884548404982664]","[39.45301211251137, -0.33326943151641725]",14.537426426426432
"[39.5122689952661, -0.4635787011061548]","[39.507577390542146, -0.41570892323380326]",23.897801801801805
"[39.492348202502214, -0.3758831177189978]","[39.470982395224986, -0.3916979608167572]",10.757201201201205
"[39.466446695705386, -0.34025245607291615]","[39.499516734195346, -0.3452901039194459]",17.96247147147147
"[39.46320872584864, -0.378861657627463]","[39.502114150655075, -0.4227809088830243]",21.71069069069069
"[39.467687963051716, -0.3736870298039824]","[39.46510132255713, -0.3371634323130311]",11.77097897897898
"[39.47985789480331, -0.3770539185933688]","[39.44482522192538, -0.3955864211424718]",16.902336336336344
"[39.46591896700663, -0.3719908058329071]","[39.528735491720106, -0.38487558674985933]",25.98663063063064
"[39.466183660923896, -0.3331241781942545]","[39.45617285637705, -0.36745044951444894]",12.271750750750748
"[39.45459684233481, -0.4016879653705861]","[39.45037192370345, -0.3433527628708361]",19.10347147147147
"[39.45836516166804, -0.39131479986974765]","[39.46310800535233, -0.3563519386193477]",11.05759159159159
"[39.51575111020065, -0.41741495391958094]","[39.497416084508224, -0.44787083934562866]",16.22134234234234
"[39.49092558288228, -0.3497988038443769]","[39.48963918605085, -0.39393744931932817]",29.320972972972974
"[39.50934310248573, -0.3725401918709759]","[39.453305826109705, -0.3326616180797219]",33.74939339339338
"[39.45558322356975, -0.39960530578107606]","[39.50386138302758, -0.42039036351768366]",20.19753153153153
"[39.523999918705584, -0.386603767797613]","[39.46588364241705, -0.34731672425541354]",26.559945945945923
"[39.509835081782256, -0.41700323677486084]","[39.50549108052265, -0.4406462875880262]",14.819585585585582
"[39.42264629122824, -0.391138006136573]","[39.50229116868583, -0.41593037368974856]",37.814966966966985
"[39.46310800535233, -0.3563519386193477]","[39.431224264224085, -0.39287910736843806]",18.166210210210206
"[39.44536845170325, -0.33275230898939595]","[39.46781499520431, -0.35858369456476535]",13.567534534534536
"[39.45827463544039, -0.4651666946136044]","[39.467116319827, -0.43735515173295736]",11.089672672672673
"[39.47606191549227, -0.3595587663263886]","[39.47556687765368, -0.38318034825339164]",11.476897897897894
"[39.508726482282775, -0.4133904566734796]","[39.52279603746818, -0.47078286835372274]",23.28670870870871
"[39.44664109488254, -0.3366878289055526]","[39.468490792655494, -0.3903117136356062]",20.267507507507503
"[39.493348634151495, -0.3793964108572074]","[39.46299921621865, -0.38056394738863725]",13.340711711711716
"[39.41648409049861, -0.39005885616615]","[39.48826445927876, -0.37314503830557416]",31.66812012012013
"[39.47902198239637, -0.36175594654777116]","[39.44466380047614, -0.39083922056236]",17.495915915915916
"[39.48303443350341, -0.41669399482824054]","[39.493856299025225, -0.3530682987854535]",38.085996996997004
"[39.473988658088054, -0.3655256950087939]","[39.50103187190306, -0.35418113356812686]",19.595495495495502
"[39.48910195689905, -0.3929898798044375]","[39.44333684911802, -0.39875462559091224]",19.231336336336348
"[39.45824329244473, -0.37873061686114434]","[39.52570169226869, -0.3859630069633532]",27.369732732732732
"[39.459153697192484, -0.3827539497388502]","[39.48826445927876, -0.37314503830557416]",12.112354354354352
"[39.46536583933285, -0.3820951181602941]","[39.46509222470148, -0.33384192471887725]",15.615993993993998
"[39.4973161764907, -0.3748425457075339]","[39.50381543918045, -0.3519253094319992]",23.12402102102101
"[39.47499536667772, -0.41654104337112285]","[39.4373753307774, -0.3262285006306275]",34.06191591591594
"[39.468447928492225, -0.3891159262422141]","[39.527464250455104, -0.3889009606286629]",24.95303303303303
"[39.47765657401078, -0.3528134625617623]","[39.49294209857076, -0.3859784882502914]",12.676906906906908
"[39.445255249057226, -0.33393634481516365]","[39.4740518367342, -0.36032265233516386]",15.884909909909911
"[39.49296895150871, -0.41101151053938595]","[39.446640311167734, -0.33682214801091215]",30.409351351351354
"[39.44872482871548, -0.33560167015140396]","[39.47572562317006, -0.40016263612044667]",23.089645645645643
"[39.47651942933307, -0.3726438750462938]","[39.445255249057226, -0.33393634481516365]",18.735624624624627
"[39.45529529548274, -0.37786557597056025]","[39.50041732567621, -0.4206782528616117]",22.707558558558556
"[39.47553880935449, -0.3978427981887185]","[39.47593006440226, -0.3369195048248171]",20.09085585585586
"[39.48236072211877, -0.39038249994000995]","[39.498651089228254, -0.35492821935435803]",23.933420420420422
"[39.458469982952366, -0.3712974247299527]","[39.469945418049086, -0.4193419167956435]",16.176822822822828
"[39.42148969344809, -0.40189099764578484]","[39.495516577904986, -0.38337517862705556]",34.71114414414413
"[39.47342169045531, -0.42232933297277286]","[39.45409798136041, -0.3751849758298381]",16.536876876876875
"[39.46644924684471, -0.3656154154464281]","[39.49837927089074, -0.35221882913565583]",19.719462462462463
"[39.48827576108528, -0.3637250430385133]","[39.450513551691664, -0.38933184526540265]",17.08027627627628
"[39.47932436947029, -0.3871614930542443]","[39.44769720127755, -0.39224623419605936]",12.90033633633634
"[39.48865931077153, -0.3590046281040723]","[39.49869001861817, -0.3514315023239574]",17.98367267267268
"[39.49163114503419, -0.3600312129248523]","[39.46385630544063, -0.3417566162900892]",13.588981981981984
"[39.467423024510964, -0.32526302675749114]","[39.484790607091796, -0.41938730453120787]",30.664045045045036
"[39.48560196070814, -0.39501486008552605]","[39.51042866788474, -0.3677646096575627]",15.668297297297295
"[39.44750691260798, -0.3718651727690375]","[39.46128134904798, -0.40656766580767606]",14.593150150150148
"[39.46009567264002, -0.3701285001198121]","[39.449733140747554, -0.3969585182627564]",10.591852852852856
"[39.46691045437545, -0.39865223412162126]","[39.42364316010829, -0.39850468836618413]",23.84156156156157
"[39.44408201412276, -0.36878238925146495]","[39.52538868345943, -0.3855832735848449]",32.55562762762762
"[39.48484482385689, -0.46038684575893823]","[39.481357049017824, -0.44814794698064164]",40.19911411411413
"[39.49342191478942, -0.38911837134719757]","[39.44926744838674, -0.3863367439474666]",17.540066066066068
"[39.48104774589846, -0.3618309643576755]","[39.48920939529025, -0.39729528124608976]",12.15746846846847
"[39.500378617604426, -0.44601036049976744]","[39.51917542305376, -0.41524835714436337]",15.357834834834838
"[39.47057612792791, -0.4614234125340743]","[39.45514462411485, -0.4260106228936373]",13.113621621621617
"[39.41939617955964, -0.38817367912950107]","[39.49029981830682, -0.37371293717881826]",30.5563873873874
"[39.526155204062505, -0.38605672535783525]","[39.50407276375211, -0.3943830848083534]",13.799201201201203
"[39.46970350462285, -0.41785452713767646]","[39.48321379153044, -0.3570850630068154]",21.715705705705705
"[39.45603539626461, -0.3829562552830136]","[39.52349325431076, -0.3780867423573027]",27.647006006006006
"[39.47585517471204, -0.38344808226340676]","[39.47120769421887, -0.3454751936577985]",14.050273273273275
"[39.46130735623004, -0.357870150125113]","[39.455229196973434, -0.39486416904627303]",12.95834834834835
"[39.49043502490881, -0.38216148369229264]","[39.463765167594424, -0.3407398070032982]",17.21855255255255
"[39.4678833748682, -0.3453259583864334]","[39.45444015477224, -0.39119195379198135]",16.42927627627628
"[39.4506024492486, -0.33539453873219194]","[39.41319869934867, -0.3894439381251399]",26.275072072072067
"[39.47526436691827, -0.41730522947651216]","[39.49835163999365, -0.4182288547917441]",16.46673573573574
"[39.466245364489694, -0.3865007150914804]","[39.50304914905475, -0.4167527435064966]",18.06722522522523
"[39.52073889189343, -0.38693066717015956]","[39.453583416996125, -0.3354179951594167]",32.035108108108105
"[39.50123736538105, -0.41248760088222103]","[39.51337707369635, -0.43542005249388444]",21.614597597597594
"[39.5033925201753, -0.3518772546729937]","[39.45486442333416, -0.4048071141179854]",41.101633633633654
"[39.46509222470148, -0.33384192471887725]","[39.453747758251524, -0.3943973794789803]",21.917606606606615
"[39.52093330020732, -0.42112379390949795]","[39.49718443244894, -0.4507770515599408]",16.738336336336335
"[39.489506265768206, -0.3400876990078431]","[39.49873474081511, -0.3907104134753145]",50.09214714714718
"[39.47506829937864, -0.4337181218955674]","[39.48906306163852, -0.44384051813999215]",15.136831831831831
"[39.456646242751795, -0.36162323626742504]","[39.46748108680007, -0.3929416145034403]",11.12834834834835
"[39.46606267348533, -0.329845943113011]","[39.49787115596286, -0.3886735899963636]",23.778990990990994
"[39.488907021012764, -0.3654275917359621]","[39.46568138828758, -0.384876900207462]",12.520702702702701
"[39.48866536197679, -0.3905977539734149]","[39.420994950121354, -0.39154249698983806]",28.560393393393387
"[39.50934310248573, -0.3725401918709759]","[39.484793822972094, -0.3610060283400314]",18.265660660660654
"[39.48172552369856, -0.36054004736892437]","[39.449034230639, -0.39621442366528986]",17.679549549549556
"[39.44664109488254, -0.3366878289055526]","[39.49458289847783, -0.3993947834360655]",27.70871471471472
"[39.487471226537956, -0.3559195894523431]","[39.4872913469711, -0.38774467271970414]",10.811954954954954
"[39.498905565224426, -0.3841868839615825]","[39.50104658353819, -0.41726329285354263]",15.351762762762766
"[39.5080651407288, -0.46808529697210755]","[39.52184682761343, -0.461908782387935]",11.980432432432433
"[39.484793822972094, -0.3610060283400314]","[39.50608905940718, -0.3557141885103968]",18.734921921921917
"[39.503815291208554, -0.3461551228055668]","[39.46390454569073, -0.380662719226331]",32.44266366366366
"[39.50386138302758, -0.42039036351768366]","[39.46973653010271, -0.33824393549408394]",29.782669669669676
"[39.50434801493239, -0.3473866952426246]","[39.44734824887825, -0.33160703669789304]",27.101126126126147
"[39.42089318618263, -0.3893774670138119]","[39.48938391621882, -0.3797248104873931]",30.068102102102102
"[39.50304914905475, -0.4167527435064966]","[39.48139090628875, -0.39808165729783507]",11.073597597597601
"[39.45991138389105, -0.3361881758750137]","[39.50462864642346, -0.4230271022795058]",32.211483483483484
"[39.46090000474517, -0.3811706433574416]","[39.476424669118444, -0.4200315227169521]",13.217087087087087
"[39.464450270305186, -0.3273574611652488]","[39.533207804060346, -0.37850655183508264]",33.85114414414415
"[39.497248354254346, -0.374381090243125]","[39.468656611852744, -0.3875762961692131]",14.940429429429429
"[39.45444015477224, -0.39119195379198135]","[39.46836276023066, -0.34310247448824943]",16.154312312312317
"[39.48750887307411, -0.35377629971283575]","[39.49778671598614, -0.38437212476668897]",11.953276276276275
"[39.502109378492975, -0.41664854447438154]","[39.48153053199055, -0.3756862935456858]",19.242513513513515
"[39.49614790524433, -0.3741420418961582]","[39.451430957022545, -0.40354702783010665]",20.4350930930931
"[39.398839604118685, -0.40216841233612144]","[39.437098804050144, -0.4303831782902564]",17.46486786786787
"[39.47102277263202, -0.34439755222231505]","[39.495683106036225, -0.3494320419179864]",15.830447447447447
"[39.47245686888047, -0.3466564594483598]","[39.49162391824518, -0.3600987668429063]",10.278390390390394
"[39.450056764699795, -0.3945368856748323]","[39.48104774589846, -0.3618309643576755]",17.1265945945946
"[39.44670790386613, -0.3719348726298641]","[39.5054209428166, -0.3481715122751803]",29.1296096096096
"[39.41978573583446, -0.38513141442799625]","[39.450630972136125, -0.39808145567205594]",17.56403903903904
"[39.45429196241946, -0.4069038209361001]","[39.496908611538665, -0.3799658234888747]",20.354834834834836
"[39.47281020460649, -0.3973617958233817]","[39.48951742121153, -0.37322213481072813]",11.215063063063063
"[39.447898087135194, -0.3945881532019548]","[39.46783023470562, -0.3645235587885246]",13.728390390390391
"[39.46700927167677, -0.3848508601658397]","[39.4981920339452, -0.41636809060469243]",16.54921321321322
"[39.44316296560535, -0.36793213432522653]","[39.47586798162197, -0.4155850503045704]",20.115114114114117
"[39.48389328376311, -0.36277831284378864]","[39.46588136294096, -0.39554783193301185]",13.940237237237245
"[39.51209013745697, -0.4145832843465119]","[39.5160235184529, -0.4718124286405794]",22.1654024024024
"[39.4857968771275, -0.37506254831805586]","[39.44518553324093, -0.39117340128267186]",18.436585585585586
"[39.48560196070814, -0.39501486008552605]","[39.4137366475427, -0.39423691609255135]",30.98428228228228
"[39.4529735317694, -0.3310080372174229]","[39.48227766059585, -0.41891041213248675]",29.658714714714712
"[39.48698504182922, -0.3936578845364158]","[39.50016669203209, -0.3658832469963033]",10.488456456456458
"[39.52740904781326, -0.38123248046636504]","[39.46272708957957, -0.3972354298074817]",26.052108108108104
"[39.47341109010302, -0.38198051760215956]","[39.44834644250786, -0.33141219772190644]",20.078897897897903
"[39.48202022418811, -0.37238775714006356]","[39.515050442566796, -0.3870222160616893]",13.97887987987988
"[39.46726737457161, -0.3796746918789417]","[39.47843356553863, -0.33985470468029555]",15.724432432432431
"[39.51654741978532, -0.3684102222422555]","[39.47526436691827, -0.41730522947651216]",26.71013213213213
"[39.46273592721319, -0.46391747007749595]","[39.468079617332016, -0.432344323789023]",11.466270270270268
"[39.47467494368557, -0.43143575955618896]","[39.486886242494066, -0.46186613148572614]",43.008795795795784
"[39.530280113454545, -0.3894027063043043]","[39.487516469391316, -0.36483394030050786]",19.50939339339339
"[39.462262242180415, -0.37127489059695]","[39.44840648593611, -0.33296270890976176]",15.125378378378379
"[39.44505041519282, -0.38962355900019546]","[39.48539047478447, -0.4171337663561566]",17.06923123123123
"[39.480962496625615, -0.35208387392127705]","[39.460762717855864, -0.3322460183393264]",11.88461261261261
"[39.45647607204995, -0.37234539076568657]","[39.48946797824735, -0.3772639793309563]",15.250273273273278
"[39.51529085650364, -0.41188230602835313]","[39.52622965079055, -0.46795942503421445]",23.589774774774778
"[39.47789098820586, -0.36291069820818656]","[39.447605578273894, -0.37532907046164377]",14.205609609609606
"[39.4711488886069, -0.41771695184168334]","[39.484468905327546, -0.3585274015298226]",19.15655555555556
"[39.45633875807261, -0.3883396257000401]","[39.52343242366321, -0.3869267231260646]",26.66515915915916
"[39.486698644865875, -0.3795646023977995]","[39.460642491228015, -0.39035809441122954]",13.609861861861866
"[39.49165331726142, -0.36425008095478767]","[39.50103187190306, -0.35418113356812686]",20.72910810810811
"[39.486349192953405, -0.3595915227851768]","[39.46921512499376, -0.32731747812165096]",12.506585585585583
"[39.4901185224302, -0.3740273627218122]","[39.450153495999224, -0.3324219405096932]",22.799483483483495
"[39.46514859445717, -0.3730444540408307]","[39.42364316010829, -0.39850468836618413]",22.97950750750751
"[39.501806282785154, -0.38548254831371065]","[39.48496151906533, -0.3596366514739423]",11.153885885885886
"[39.450977482158706, -0.3825452473396956]","[39.49126722059079, -0.37617751018965095]",19.863102102102093
"[39.50016669203209, -0.3658832469963033]","[39.46506312190157, -0.38900660326487824]",16.283630630630636
"[39.46588136294096, -0.39554783193301185]","[39.47883347371652, -0.36591803036818027]",14.749636636636632
"[39.51437698964522, -0.41337456927624877]","[39.511318222347036, -0.4414114479954875]",12.739717717717715
"[39.45677633366987, -0.39723989351276073]","[39.46303713907888, -0.3714309906625198]",10.02024924924925
"[39.487288123748414, -0.3832181679770428]","[39.46320872584864, -0.378861657627463]",10.741204204204204
"[39.473140374443346, -0.3262205678056138]","[39.44505041519282, -0.38962355900019546]",23.07855255255254
"[39.48696726767401, -0.3856105813982973]","[39.50157625443547, -0.3410531979109132]",23.370030030030026
"[39.47686368239907, -0.36680893104059714]","[39.470153032348, -0.40458176925081524]",13.176597597597597
"[39.49194417054458, -0.37998448350911856]","[39.503342854086206, -0.418151681012747]",16.222261261261263
"[39.493234813866415, -0.37748556172134423]","[39.42261515782383, -0.40051342090401326]",35.167057057057036
"[39.45701902248243, -0.37872424792325127]","[39.44644606733218, -0.3322970918199825]",16.251942942942947
"[39.49379160772314, -0.3485542168893218]","[39.492992482569306, -0.3718236884730802]",28.915531531531553
"[39.4719368995843, -0.3439412351507852]","[39.499516734195346, -0.3452901039194459]",17.289219219219216
"[39.447009880849244, -0.33478152369385156]","[39.48274070933209, -0.4020146897322666]",25.891120120120124
"[39.447938501871164, -0.39498886337497013]","[39.490638560251135, -0.38163014682211543]",17.04941441441441
"[39.441928183497104, -0.413522054968246]","[39.46606267348533, -0.329845943113011]",27.63575975975976
"[39.463949660788025, -0.35646327487229057]","[39.48951742121153, -0.37322213481072813]",11.232774774774773
"[39.45358067010472, -0.38988032371960857]","[39.503237305179994, -0.4173930665287378]",22.196663663663664
"[39.522051205213096, -0.41637061718347085]","[39.51977308290318, -0.4619399420763117]",19.736873873873876
"[39.48294352781025, -0.36401357506628373]","[39.453009628038714, -0.33337102569713495]",16.51050750750752
"[39.46979182634629, -0.46060766361587663]","[39.486886242494066, -0.46186613148572614]",46.60653453453452
"[39.499907167847546, -0.3819807284266317]","[39.46324440379414, -0.3597975028444009]",14.979945945945948
"[39.457762850122926, -0.3695672422090198]","[39.47093052121116, -0.4227279707440064]",17.89118318318318
"[39.50439552139929, -0.4132829959511123]","[39.50971200414956, -0.44623920702002756]",16.895621621621626
"[39.491869329240096, -0.3728590631341861]","[39.46048179941532, -0.38206782498837605]",14.568555555555555
"[39.45909969915328, -0.38059354849731686]","[39.48202022418811, -0.37238775714006356]",11.97606306306306
"[39.50743077641967, -0.4133147018687377]","[39.50963163900828, -0.45356536699185007]",18.4274954954955
"[39.45213945213062, -0.3403146368872326]","[39.479618770058586, -0.38883347875035756]",19.377375375375372
"[39.46128134904798, -0.40656766580767606]","[39.419116283394004, -0.3918110187728747]",21.709651651651665
"[39.456045658526726, -0.39640847067543233]","[39.51799691869397, -0.38740448697052]",24.429486486486486
"[39.475997662861374, -0.3277351360728453]","[39.43977509056335, -0.33872042534881325]",15.622480480480478
"[39.45609721290207, -0.4558922714121321]","[39.46285557257186, -0.43180110021585966]",14.34209009009009
"[39.47012738322618, -0.38639977390310953]","[39.44786407925796, -0.379416510599347]",11.12693693693694
"[39.4765615225159, -0.38895814362391723]","[39.50281355582394, -0.3905151951219266]",15.463048048048053
"[39.512787346799634, -0.4692950750981623]","[39.50385419899838, -0.4138258780352351]",26.461972972972983
"[39.459009957453475, -0.4634297285160081]","[39.48137290978918, -0.4515343525871891]",14.038807807807805
"[39.51661648652065, -0.4104537484764261]","[39.506968370518145, -0.4188507153918732]",13.721405405405402
"[39.48269275917993, -0.3973066691964653]","[39.444602035338654, -0.39923088600705486]",15.20751351351352
"[39.488405070288756, -0.3703921348143533]","[39.45432979903663, -0.4013604447827324]",18.47607807807809
"[39.47917733456973, -0.39994064237504146]","[39.452592079370945, -0.370983341908894]",14.665531531531526
"[39.47856589916525, -0.36679037890610583]","[39.50050632006751, -0.3491552809204219]",17.789720720720716
"[39.45645956525946, -0.37122920398250864]","[39.46792770443834, -0.33068727984813767]",14.210588588588589
"[39.47097712686598, -0.36773633616470247]","[39.447083872450165, -0.3987621028396902]",12.591564564564568
"[39.493856299025225, -0.3530682987854535]","[39.46624122550817, -0.34315528799020883]",21.32844144144145
"[39.47806138862938, -0.3589301209556603]","[39.52177004922981, -0.3855678815286831]",20.215363363363362
"[39.48817475508634, -0.357274107296998]","[39.429332175698626, -0.38878254354566605]",29.832954954954932
"[39.493683830946296, -0.35183163634514497]","[39.425024769433676, -0.39073970217350484]",43.10654354354355
"[39.49787115596286, -0.3886735899963636]","[39.458855529572844, -0.400931265236505]",16.99561561561562
"[39.52279603746818, -0.47078286835372274]","[39.51437698964522, -0.41337456927624877]",20.927903903903907
"[39.47374696096664, -0.33609090006403963]","[39.496908611538665, -0.3799658234888747]",16.546507507507506
"[39.47890020952423, -0.34897807989611646]","[39.43025756488892, -0.3891467461735756]",26.17267867867867
"[39.47891759738582, -0.38239390191978306]","[39.45213945213062, -0.3403146368872326]",21.331099099099102
"[39.47212847821168, -0.34089962864679635]","[39.48952319185241, -0.395504981001536]",18.968393393393388
"[39.45401285518116, -0.32509804661460784]","[39.48560196070814, -0.39501486008552605]",23.161630630630622
"[39.45459684233481, -0.4016879653705861]","[39.470572639130225, -0.34789391285929216]",19.28068468468469
"[39.466412738266854, -0.34883980650724616]","[39.50282893615959, -0.41604354486454376]",29.090615615615615
"[39.520865314276385, -0.3781542128514641]","[39.47012738322618, -0.38639977390310953]",20.1437087087087
"[39.47692525064525, -0.38252208715628266]","[39.52570169226869, -0.3859630069633532]",19.365453453453448
"[39.50100377919798, -0.4183905808832153]","[39.458939902227144, -0.3590875375432641]",26.021759759759785
"[39.44898058832748, -0.33266012154895624]","[39.50017751579713, -0.3525297893019669]",24.985738738738746
"[39.46108169497658, -0.3709365550496237]","[39.478011260267785, -0.40285449990199684]",11.956078078078074
"[39.48733784718401, -0.3810026547581417]","[39.44852022518489, -0.3349657243695018]",21.84915615615616
"[39.50045134465646, -0.44267515866919893]","[39.50708285411696, -0.4157860170466861]",18.612777777777787
"[39.51976930604088, -0.41683276668851]","[39.51519227760814, -0.4615303334066774]",20.231258258258254
"[39.507611577068225, -0.4088211409259636]","[39.50993243469007, -0.4683461861015982]",25.372066066066065
"[39.490903144501594, -0.37896415543338297]","[39.46299921621865, -0.38056394738863725]",12.622777777777777
"[39.49515809076606, -0.37151683066547664]","[39.530280113454545, -0.3894027063043043]",15.965918918918915
"[39.458574268125666, -0.39694193307871334]","[39.49438413088588, -0.34700753498940495]",27.772222222222222
"[39.47952680097985, -0.3670063674172821]","[39.473218714849146, -0.419261384876798]",17.26538138138138
"[39.47917733456973, -0.39994064237504146]","[39.44437115663224, -0.3333513231344301]",27.490027027027022
"[39.446953236107895, -0.38001268721929365]","[39.468339804999275, -0.3624228085678842]",10.97372372372372
"[39.488405070288756, -0.3703921348143533]","[39.525282599748785, -0.38683966817634863]",16.260846846846842
"[39.452481396593164, -0.3954176717713275]","[39.46854822658945, -0.330696933209268]",20.76250750750751
"[39.48092889626033, -0.3896119407814517]","[39.475341483853676, -0.4169029357201669]",10.589117117117116
"[39.52790354250802, -0.38718687353471853]","[39.497705963439394, -0.42024629983399325]",24.875783783783785
