Coordenadas_inicio,Coordenadas_fin
"[39.41579575137313, -0.40081291631463056]","[39.52970843576125, -0.34684085337276566]"
"[39.52597554966445, -0.3430309635879496]","[39.39916220006564, -0.4029669334657253]"
"[39.54283349143927, -0.39901037868045125]","[39.43216700267051, -0.4658670152997476]"
"[39.42481549988382, -0.4185919708883066]","[39.53681295082609, -0.34529173468790375]"
"[39.52056922979915, -0.46727801344150566]","[39.40455602856859, -0.4011873949178396]"
"[39.52199891363963, -0.35358539371807257]","[39.40244959958471, -0.4119765346741123]"
"[39.51446832849066, -0.34231237675764975]","[39.39486950058906, -0.4090277365563346]"
"[39.52531634243149, -0.39049483023153597]","[39.39547356708542, -0.39725117203010546]"
"[39.51470921872743, -0.3666778926251919]","[39.39587589176299, -0.41192610391632256]"
"[39.43449747007856, -0.46662186909892767]","[39.54595694083642, -0.39823353283450125]"
"[39.43696949561621, -0.465312916486308]","[39.55099714553373, -0.39237705738338685]"
"[39.52088028479691, -0.46712372368632493]","[39.44516416112566, -0.3311317927016207]"
"[39.43064631186484, -0.47297222363635044]","[39.525545643018106, -0.3515832747718882]"
"[39.433316381901925, -0.46953528132260997]","[39.54505955881226, -0.3981004197074211]"
"[39.406360958551204, -0.4070618833126017]","[39.530280316622296, -0.3844688798669076]"
"[39.39796428624887, -0.398125634665853]","[39.51350611867057, -0.46819581214941497]"
"[39.54190421012771, -0.38780011585165153]","[39.42178644141901, -0.39171783543557714]"
"[39.419582886302244, -0.39146995152342035]","[39.549246456713824, -0.3933452214261512]"
"[39.403017643132344, -0.4101991398770435]","[39.52544339081541, -0.3945857364224703]"
"[39.407967671625975, -0.4010412793763549]","[39.532169746917106, -0.3533941884762618]"
"[39.40662480948336, -0.40478644642003825]","[39.541569892544636, -0.39512287977288574]"
"[39.40084882448056, -0.39377651264365887]","[39.51922383638019, -0.42158011581199584]"
"[39.43493882109987, -0.4715714049487579]","[39.52660857944947, -0.353319219198111]"
"[39.531636796014396, -0.35244726743595695]","[39.41325411465148, -0.3922910164856192]"
"[39.51999039571137, -0.46890746981704634]","[39.40553985243058, -0.407855673540257]"
"[39.53278899517425, -0.34680496640454417]","[39.39547356708542, -0.39725117203010546]"
"[39.534571174885485, -0.34954993391084216]","[39.40098728860476, -0.4053794870889823]"
"[39.5273341718733, -0.3437314755420984]","[39.40140843734119, -0.405155049348559]"
"[39.546896638610725, -0.397073038238627]","[39.424624724790284, -0.41810185857593735]"
"[39.546543036974725, -0.39448961612666694]","[39.43468147036507, -0.47002448100411837]"
"[39.43692972222276, -0.46542535673212554]","[39.549246456713824, -0.3933452214261512]"
"[39.545011323443056, -0.38902930331019947]","[39.41929260107422, -0.39427319104963404]"
"[39.52383111222522, -0.3896529741536885]","[39.400321564470154, -0.4110027778282725]"
"[39.42532440841616, -0.4161737166452558]","[39.53681295082609, -0.34529173468790375]"
"[39.414625710853905, -0.39298336643759485]","[39.539234311354534, -0.39847928918329983]"
"[39.43076406597057, -0.4749425326921693]","[39.54478329518825, -0.3902447512466038]"
"[39.413781138955684, -0.3911937504574964]","[39.541569892544636, -0.39512287977288574]"
"[39.39880153954059, -0.413397507971333]","[39.53542876633856, -0.3920810360029342]"
"[39.43918632654782, -0.4791982228293939]","[39.52271859404295, -0.3483371621055655]"
"[39.527408418748934, -0.4649085488318755]","[39.40658799316457, -0.4023702855141005]"
"[39.42291711368196, -0.3915054905834717]","[39.54489063450191, -0.40125538670750127]"
"[39.39873938327394, -0.39462762485408726]","[39.54324110974869, -0.3947814117729767]"
"[39.54250646439395, -0.40219560197896204]","[39.42193552326333, -0.3926976421017053]"
"[39.52858384021945, -0.35112821482293044]","[39.43064631186484, -0.47297222363635044]"
"[39.52962429859181, -0.35513870605249537]","[39.39786918438939, -0.40394795125271277]"
"[39.52354753409302, -0.3443074284435152]","[39.39873938327394, -0.39462762485408726]"
"[39.47249581511401, -0.32511665755571084]","[39.434508224802144, -0.4752898986559559]"
"[39.51989735880697, -0.4654503226142495]","[39.440782479763634, -0.3336414338340276]"
"[39.44708024050772, -0.33389895101822736]","[39.517453639874304, -0.46794131381637627]"
"[39.54817687535043, -0.3966659608649792]","[39.399240740206544, -0.40122126517661105]"
"[39.51894374801285, -0.4613515205988704]","[39.399885219072665, -0.39678627038024467]"
"[39.517551432537914, -0.4658384226674696]","[39.40084882448056, -0.39377651264365887]"
"[39.51267889552536, -0.46918959057223575]","[39.39688091713051, -0.39425381924746966]"
"[39.521027817646214, -0.34731351887607265]","[39.40107775161937, -0.39681620103700954]"
"[39.543317314653116, -0.3969429496159682]","[39.40290943194442, -0.40502345615098523]"
"[39.40553985243058, -0.407855673540257]","[39.525246248717565, -0.34366677547254476]"
"[39.43410340333957, -0.478409289053137]","[39.50271003663323, -0.34489627962555747]"
"[39.54250646439395, -0.40219560197896204]","[39.41579575137313, -0.40081291631463056]"
"[39.425996482605726, -0.4262509846195634]","[39.54478329518825, -0.3902447512466038]"
"[39.52324911888373, -0.4167772187659234]","[39.39587589176299, -0.41192610391632256]"
"[39.395897844997684, -0.39982226106287605]","[39.51701768841086, -0.41248063100092636]"
"[39.54890043763588, -0.39820783897955153]","[39.40817717743016, -0.39713857169555905]"
"[39.43034892100758, -0.48138478574295895]","[39.52811938301254, -0.3545427399378661]"
"[39.42073316083538, -0.39822949069005414]","[39.553930090770606, -0.39973813226536004]"
"[39.51786609832055, -0.47557319877328336]","[39.448103198943286, -0.32949727924880545]"
"[39.53104444351681, -0.35182588328801817]","[39.40471367773695, -0.4016108439984623]"
"[39.40320961206286, -0.39447511716937844]","[39.51459762033766, -0.45835016352936037]"
"[39.53424131780824, -0.3466200044369047]","[39.40817717743016, -0.39713857169555905]"
"[39.5517023772746, -0.39394431688251935]","[39.433316381901925, -0.46953528132260997]"
"[39.54019014739548, -0.4004947834365392]","[39.40957299779509, -0.4030496844188387]"
"[39.53057352728355, -0.35462923723965367]","[39.4367694941039, -0.4661302685377737]"
"[39.525215324648656, -0.3526880017178849]","[39.43064631186484, -0.47297222363635044]"
"[39.41579575137313, -0.40081291631463056]","[39.546896638610725, -0.397073038238627]"
"[39.43157024946931, -0.46768966732994893]","[39.545780131190234, -0.39695383774313814]"
"[39.430471753760926, -0.47644624624889265]","[39.52793324636352, -0.37872362629310763]"
"[39.453323011223084, -0.33261679240648523]","[39.517551432537914, -0.4658384226674696]"
"[39.433316381901925, -0.46953528132260997]","[39.54495241593656, -0.399275569671597]"
"[39.538572582300986, -0.39185798928753557]","[39.43132137017162, -0.4690211802015263]"
"[39.402800912544706, -0.40299962284936386]","[39.54001040389249, -0.3902841419994586]"
"[39.53760027857757, -0.35662344267285395]","[39.40244959958471, -0.4119765346741123]"
"[39.41625274753387, -0.3912168965027662]","[39.54817687535043, -0.3966659608649792]"
"[39.52858384021945, -0.35112821482293044]","[39.39753001111223, -0.41027905816489396]"
"[39.40471367773695, -0.4016108439984623]","[39.52149788328662, -0.4640555452144247]"
"[39.522962461033465, -0.3924667042293062]","[39.398264167566616, -0.3971240158088995]"
"[39.43752233113114, -0.47031839085626015]","[39.52362310060864, -0.3488167276343979]"
"[39.5167152158014, -0.4585603267530301]","[39.40218418240248, -0.4033568155122907]"
"[39.43034892100758, -0.48138478574295895]","[39.526670626741826, -0.35409754587553777]"
"[39.50777355054805, -0.4664632351031244]","[39.44956886299207, -0.3264078668402115]"
"[39.522962461033465, -0.3924667042293062]","[39.39486950058906, -0.4090277365563346]"
"[39.547446498321264, -0.39763071199641037]","[39.422364692855034, -0.40066498729239114]"
"[39.39540660018187, -0.39392877421608014]","[39.547446498321264, -0.39763071199641037]"
"[39.5220038270267, -0.4087316204495885]","[39.40098728860476, -0.4053794870889823]"
"[39.52029214128759, -0.418195976321516]","[39.39547356708542, -0.39725117203010546]"
"[39.406360958551204, -0.4070618833126017]","[39.52079503716763, -0.46209185905170724]"
"[39.545112718040414, -0.3979566627507253]","[39.43132137017162, -0.4690211802015263]"
"[39.431114685145666, -0.47416470825544665]","[39.546543036974725, -0.39448961612666694]"
"[39.53278899517425, -0.34680496640454417]","[39.4568977870116, -0.4726301514820888]"
"[39.529270342825825, -0.34289994210424035]","[39.43409612164653, -0.4725844311631217]"
"[39.53394705998222, -0.3621741126395452]","[39.432115746797756, -0.4691338246330556]"
"[39.415589786039746, -0.392736174338265]","[39.55027423345744, -0.39533168668226815]"
"[39.43154086749556, -0.4769828439502539]","[39.54875902806461, -0.3949984182526597]"
"[39.52689965762625, -0.35130804165786145]","[39.43554138957863, -0.4657423065972868]"
"[39.5149054294972, -0.35951712726633717]","[39.39486950058906, -0.4090277365563346]"
"[39.43410340333957, -0.478409289053137]","[39.52960034198099, -0.3498911359073977]"
"[39.43189307986651, -0.4683532399838482]","[39.52362310060864, -0.3488167276343979]"
"[39.417018750259494, -0.398507119263242]","[39.538572582300986, -0.39185798928753557]"
"[39.522645383201144, -0.34955365273514655]","[39.43353201077304, -0.4654854893752616]"
"[39.44009597702771, -0.47362365264767775]","[39.549037662824716, -0.398279770441734]"
"[39.519888908741045, -0.4281656645431635]","[39.396500443920964, -0.4006288298772595]"
"[39.5171287577463, -0.47313660803330215]","[39.450822490976535, -0.3233620523919188]"
"[39.52485200754664, -0.35187360898003656]","[39.39753695230372, -0.39889817894891205]"
"[39.4282805367573, -0.4718480947944809]","[39.51262655058165, -0.3554138360183962]"
"[39.40658799316457, -0.4023702855141005]","[39.54605755528356, -0.3990870553608558]"
"[39.39796428624887, -0.398125634665853]","[39.5202704692319, -0.414258454936664]"
"[39.44990097910292, -0.3327278341010168]","[39.51600294508381, -0.46655586039565095]"
"[39.55099714553373, -0.39237705738338685]","[39.428503691580055, -0.4183998304715318]"
"[39.43154086749556, -0.4769828439502539]","[39.528847820157125, -0.3489069076160588]"
"[39.40123026754632, -0.40418089229623017]","[39.516482498459204, -0.46791668048357943]"
"[39.53963356433503, -0.3399760922312]","[39.431284914290465, -0.4771996974786686]"
"[39.542272877980295, -0.39434672838779017]","[39.4289006755338, -0.4686255999196735]"
"[39.52591129642573, -0.4621581271411613]","[39.40662480948336, -0.40478644642003825]"
"[39.42288050841533, -0.394451102936673]","[39.54725597669203, -0.40076435797516347]"
"[39.530280316622296, -0.3844688798669076]","[39.39460500414015, -0.4054884815638184]"
"[39.54250646439395, -0.40219560197896204]","[39.400321564470154, -0.4110027778282725]"
"[39.531932548435044, -0.38412834475747015]","[39.431284914290465, -0.4771996974786686]"
"[39.54257019661765, -0.3968386820809661]","[39.426696700463644, -0.47164677946987665]"
"[39.516158440298604, -0.4288430873956488]","[39.39533056170972, -0.39576036027534084]"
"[39.43385280633983, -0.4717236495115586]","[39.54750866336105, -0.394716967544779]"
"[39.55429015975586, -0.40144970301834493]","[39.43918632654782, -0.4791982228293939]"
"[39.522300767591936, -0.38414628117962346]","[39.39753001111223, -0.41027905816489396]"
"[39.538572582300986, -0.39185798928753557]","[39.39977048809533, -0.406575148478769]"
"[39.54877550393352, -0.39730087546064446]","[39.40767080505502, -0.4006112165919905]"
"[39.395897844997684, -0.39982226106287605]","[39.516664403903555, -0.4140872366935474]"
"[39.40320961206286, -0.39447511716937844]","[39.53681295082609, -0.34529173468790375]"
"[39.406360958551204, -0.4070618833126017]","[39.52527406994326, -0.38297356022325985]"
"[39.55027423345744, -0.39533168668226815]","[39.425686421821105, -0.4253229453294765]"
"[39.436046672306446, -0.46972700112010185]","[39.53267111859699, -0.3511355718691225]"
